country_code,postcode_format,significant_digits
AD,99999,5
AD,AA999,5
AM,9999,4
AR,9999,4
AS,99999,5
AT,9999,4
AU,9999,4
AZ,999999,6
AZ,9999,4
BA,99999,5
BD,9999,4
BE,9999,4
BG,9999,4
BN,AA9999,6
BR,99999,5
BR,99999-999,5
BR,99999999,5
BY,999999,6
CA,A9A 9A9,6
CA,A9A 9A,6
CH,9999,4
CN,999999,6
CU,99999,5
CY,9999,4
CZ,999 99,6
DE,99999,5
DK,9999,4
DZ,99999,5
EE,99999,5
ES,99999,5
FI,99999,5
FM,99999,5
FO,999,3
FR,99999,5
GB,A9 9AA,2
GB,A99 9AA,3
GB,A9A 9AA,3
GB,AA9 9AA,3
GB,AA99 9AA,4
GB,AA9A 9AA,4
GE,9999,4
GF,99999,5
GG,AA9 9AA,3
GG,AA99 9AA,4
GL,9999,4
GP,99999,5
GR,999 99,6
GU,99999,5
HR,99999,5
HU,9999,4
IC,99999,5
ID,99999,5
IL,99999,5
IL,9999999,7
IN,999999,6
IS,999,3
IT,99999,5
JE,AA9 9AA,3
JP,999-9999,8
KG,999999,6
KR,999-999,7
KV,99999,5
KZ,999999,6
LI,9999,4
LT,99999,5
LU,9999,4
LV,9999,4
MA,99999,5
MC,99999,5
MD,9999,4
ME,99999,5
MG,999,3
MH,99999,5
MK,9999,4
MN,999999,6
MN,99999,5
MP,99999,5
MQ,99999,5
MV,99999,5
MV,9999,4
MX,99999,5
MX,9999,4
MY,99999,5
NC,99999,5
NL,9999,4
NL,9999 AA,4
NO,9999,4
NZ,9999,4
PG,999,3
PH,9999,4
PK,99999,5
PL,99-999,6
PR,99999,5
PT,9999,4
PT,9999-999,4
PW,99999,5
RE,99999,5
RO,999999,6
RS,99999,5
RU,999999,6
SE,999 99,6
SG,999999,6
SI,9999,4
SK,999 99,6
SM,99999,5
SZ,A999,4
TH,99999,5
TJ,999999,6
TN,9999,4
TR,99999,5
TW,999,3
TW,99999,5
UA,99999,5
US,99999,5
US,99999-9999,5
UZ,999999,6
VI,99999,5
XY,99999,5
YT,99999,5
ZA,9999,4
